,a,b,e,c,d
792,-10,0,6,-10,1
793,-10,0,6,-10,1
794,-10,0,6,-10,1
795,-10,0,6,-10,1
796,-10,0,6,-10,1
797,-10,0,6,-10,1
798,-10,0,6,-10,1
799,-10,0,6,-10,1
800,-10,0,6,-10,1
801,-10,0,6,-10,1
802,-10,0,6,-10,1
803,-10,0,6,-10,1
804,-10,0,6,-10,1
805,-10,0,6,-10,1
806,-10,0,6,-10,1
807,-10,0,6,-10,1
808,-10,0,6,-10,1
809,-10,0,6,-10,1
810,-10,0,6,-10,1
811,-10,0,6,-10,1
812,-10,0,6,-10,1
813,-10,0,6,-10,1
814,-10,0,6,-10,1
815,-10,0,6,-10,1
816,-10,0,6,-10,1
817,-10,0,6,-10,1
818,-10,0,6,-10,1
819,-10,0,6,-10,1
820,-10,0,6,-10,1
821,-10,0,6,-10,1
822,-10,0,6,-10,1
823,-10,0,6,-10,1
824,-10,0,6,-10,1
825,-10,0,6,-10,1
826,-10,0,6,-10,1
827,-10,0,6,-10,1
828,-10,0,6,-10,1
829,-10,0,6,-10,1
830,4,0,6,4,1
831,4,0,6,4,1
832,4,0,6,4,1
833,4,0,6,4,1
834,4,0,6,4,1
835,4,0,6,4,1
836,4,0,6,4,1
837,4,0,6,4,1
838,4,0,6,4,1
839,4,0,6,4,1
840,4,0,6,4,1
841,4,0,6,4,1
842,4,0,6,4,1
843,4,0,6,4,1
844,4,0,6,4,1
845,4,0,6,4,1
846,4,0,6,4,1
847,4,0,6,4,1
848,4,0,6,4,1
849,4,0,6,4,1
850,4,0,6,4,1
851,4,0,6,4,1
852,4,0,6,4,1
853,4,0,6,4,1
854,4,0,6,4,1
855,4,0,6,4,1
856,4,0,6,4,1
857,4,0,6,4,1
858,4,0,6,4,1
859,4,0,6,4,1
860,4,0,6,4,1
861,4,0,6,4,1
862,4,0,6,4,1
863,4,0,6,4,1
864,4,0,6,4,1
865,4,0,6,4,1
866,4,0,6,4,1
867,4,0,6,4,1
868,4,0,6,4,1
869,4,0,6,4,1
870,4,0,6,4,1
871,4,0,6,4,1
872,4,0,6,4,1
873,4,0,6,4,1
874,6,0,-6,6,1
875,6,0,-6,6,1
876,6,0,-6,6,1
877,6,0,-6,6,1
878,6,0,-6,6,1
879,6,0,-6,6,1
880,6,0,-6,6,1
881,6,0,-6,6,1
882,6,0,-6,6,1
883,6,0,-6,6,1
884,6,0,-6,6,1
885,6,0,-6,6,1
886,6,0,-6,6,1
887,6,0,-6,6,1
888,6,0,-6,6,1
889,6,0,-6,6,1
890,6,0,-6,6,1
891,6,0,-6,6,1
892,6,0,-6,6,1
893,6,0,-6,6,1
894,6,0,-6,6,1
895,6,0,-6,6,1
896,6,0,-6,6,1
897,6,0,-6,6,1
898,6,0,-6,6,1
899,6,0,-6,6,1
